,GFT,boro,num_of_progens,numeric_ind,progen_b10sc_1,progen_b10sc_2,progen_gft_1,progen_word_1,progen_word_2,sc5_1,sc5_2,stname
175,S,1,1,N,13498001010,0,,W,,134980,0,61 DRIVE
176,S,1,2,N,11821001010,13499001010,,E,W,118210,134990,61 STREET
177,S,1,1,N,11086501110,0,Z,E,,110865,0,62 ST FDR DRIVE NB EN
178,S,1,1,N,11086501080,0,Z,E,,110865,0,62 ST NB ENTRANCE FDR DRV
179,S,1,2,N,11823001010,13501001010,,E,W,118230,135010,62 STREET
180,S,1,1,N,11086501120,0,Z,E,,110865,0,62 STREET FDR DRIVE NB EN
181,S,1,1,N,11825003020,0,,E,,118250,0,63 ST EASTBOUND ROADBED
182,S,1,1,N,11826001020,0,,E,,118260,0,63 ST EXTENSION
183,S,1,1,N,11088501110,0,Z,E,,110885,0,63 ST FDR DRIVE SB EN
184,S,1,1,N,19751012020,0,B,E,,197510,0,63 ST PEDESTRIAN OVERPASS
185,S,1,1,N,11088501090,0,Z,E,,110885,0,63 ST SB ENTRANCE FDR DRV
186,S,1,1,N,11825002020,0,,E,,118250,0,63 ST WESTBOUND ROADBED
187,S,1,2,N,11825001010,13503001010,,E,W,118250,135030,63 STREET
188,S,1,1,N,11825003010,0,,E,,118250,0,63 STREET EB ROADBED
189,S,1,1,N,11826001010,0,,E,,118260,0,63 STREET EXTENSION
190,S,1,1,N,11088501120,0,Z,E,,110885,0,63 STREET FDR DRIVE SB EN
191,S,1,1,N,19751012010,0,B,E,,197510,0,63 STREET PEDESTRIAN OVPS
192,S,1,1,N,11825002010,0,,E,,118250,0,63 STREET WB ROADBED
193,S,1,2,N,11827001010,13505001010,,E,W,118270,135050,64 STREET
194,S,1,2,N,11829001010,13507001010,,E,W,118290,135070,65 STREET
195,S,1,1,N,11831003020,0,,E,,118310,0,66 ST EASTBOUND ROADBED
196,S,1,1,N,13510001020,0,,W,,135100,0,66 ST EXTENSION
197,S,1,1,N,11831002020,0,,E,,118310,0,66 ST WESTBOUND ROADBED
198,S,1,2,N,11831001010,13509001010,,E,W,118310,135090,66 STREET
199,S,1,1,N,11831003010,0,,E,,118310,0,66 STREET EB ROADBED
200,S,1,1,N,13510001010,0,,W,,135100,0,66 STREET EXTENSION
201,S,1,1,N,11831002010,0,,E,,118310,0,66 STREET WB ROADBED
202,S,1,2,N,11833001010,13511001010,,E,W,118330,135110,67 STREET
203,S,1,1,N,10018301020,0,,W,,100183,0,68 ST PEDESTRIAN UNP
204,S,1,2,N,11835001010,13513001010,,E,W,118350,135130,68 STREET
205,S,1,1,N,10018301010,0,,W,,100183,0,68 STREET PEDESTRIAN UNP
206,S,1,2,N,11837001010,13515001010,,E,W,118370,135150,69 STREET
207,S,1,2,N,11840001020,13518001020,,E,W,118400,135180,70 ST EXTENSION
208,S,1,2,N,11839001010,13517001010,,E,W,118390,135170,70 STREET
209,S,1,2,N,11840001010,13518001010,,E,W,118400,135180,70 STREET EXTENSION
210,S,1,1,N,11842001020,0,,E,,118420,0,71 ST EXTENSION
211,S,1,1,N,19751013020,0,B,E,,197510,0,71 ST PEDESTRIAN OVERPASS
212,S,1,2,N,11841001010,13519001010,,E,W,118410,135190,71 STREET
213,S,1,1,N,11842001010,0,,E,,118420,0,71 STREET EXTENSION
214,S,1,1,N,19751013010,0,B,E,,197510,0,71 STREET PEDESTRIAN OVPS
215,S,1,2,N,11844001020,13522001020,,E,W,118440,135220,72 ST EXTENSION
216,S,1,1,N,11073001120,0,Z,W,,110730,0,72 ST HHP NORTHBOUND EN
217,S,1,1,N,11073001100,0,Z,W,,110730,0,72 ST NB ENTRANCE HHP
218,S,1,1,N,10018501010,0,,W,,100185,0,72 ST PEDESTRIAN UNP
219,S,1,2,N,11843001010,13521001010,,E,W,118430,135210,72 STREET
220,S,1,2,N,11844001010,13522001010,,E,W,118440,135220,72 STREET EXTENSION
221,S,1,1,N,11073001110,0,Z,W,,110730,0,72 STREET HHP NB EN
222,S,1,1,N,11073001090,0,Z,W,,110730,0,72 STREET NB ENTRANCE HHP
223,S,1,1,N,10018501020,0,,W,,100185,0,72 STREET PEDESTRIAN UNP
224,S,1,1,N,11846001020,0,,E,,118460,0,73 ST EXTENSION
225,S,1,1,N,11088001110,0,Z,E,,110880,0,73 ST FDR DRIVE SB EN
226,S,1,1,N,11088001090,0,Z,E,,110880,0,73 ST SB ENTRANCE FDR DRV
227,S,1,2,N,11845001010,13523001010,,E,W,118450,135230,73 STREET
228,S,1,1,N,11846001010,0,,E,,118460,0,73 STREET EXTENSION
229,S,1,1,N,11088001120,0,Z,E,,110880,0,73 STREET FDR DRIVE SB EN
230,S,1,2,N,11848001020,13526001020,,E,W,118480,135260,74 ST EXTENSION
231,S,1,2,N,11847001010,13525001010,,E,W,118470,135250,74 STREET
232,S,1,2,N,11848001010,13526001010,,E,W,118480,135260,74 STREET EXTENSION
233,S,1,1,N,11850001020,0,,E,,118500,0,75 ST EXTENSION
234,S,1,2,N,11849001010,13527001010,,E,W,118490,135270,75 STREET
235,S,1,1,N,11850001010,0,,E,,118500,0,75 STREET EXTENSION
236,S,1,1,N,11852001020,0,,E,,118520,0,76 ST EXTENSION
237,S,1,2,N,11851001010,13529001010,,E,W,118510,135290,76 STREET
238,S,1,1,N,11852001010,0,,E,,118520,0,76 STREET EXTENSION
239,S,1,2,N,11853001010,13531001010,,E,W,118530,135310,77 STREET
240,S,1,1,N,11856001020,0,,E,,118560,0,78 ST EXTENSION
241,S,1,1,N,19751025080,0,B,E,,197510,0,78 ST FOOT BRIDGE
242,S,1,1,N,19751025060,0,B,E,,197510,0,78 ST FOOTBRIDGE
243,S,1,1,N,19751025040,0,B,E,,197510,0,78 ST PEDESTRIAN BRIDGE
244,S,1,1,N,19751025020,0,B,E,,197510,0,78 ST PEDESTRIAN OVERPASS
245,S,1,2,N,11855001010,13533001010,,E,W,118550,135330,78 STREET
246,S,1,1,N,11856001010,0,,E,,118560,0,78 STREET EXTENSION
247,S,1,1,N,19751025070,0,B,E,,197510,0,78 STREET FOOT BRIDGE
248,S,1,1,N,19751025050,0,B,E,,197510,0,78 STREET FOOTBRIDGE
249,S,1,1,N,19751025030,0,B,E,,197510,0,78 STREET PEDESTRIAN BRDG
250,S,1,1,N,19751025010,0,B,E,,197510,0,78 STREET PEDESTRIAN OVPS
251,S,1,1,N,11072001110,0,Z,W,,110720,0,79 ST EASTBOUND HHP NB EN
