,common_use,usps_abbr
774,BRD,BD
775,BOARDING,BRDNG
776,BRDNG,BRDNG
777,BOMBER,BMBR
778,BMBR,BMBR
779,BOOKBINDER,BKBNDR
780,BKBNDR,BKBNDR
781,BOOKBINDING,BKBNDNG
782,BKBNDNG,BKBNDNG
783,BOOKKEEPER,BKPR
784,BKKP,BKPR
785,BKKPR,BKPR
786,BKPR,BKPR
787,BOOKKEEPING,BKPG
788,BKKP,BKPG
789,BKKPG,BKPG
790,BKKPNG,BKPG
791,BKPG,BKPG
792,BOOKKPING,BKPG
793,BOOKSELLER,BKSLLR
794,BKSLLR,BKSLLR
795,BOOKSHELF,BKSHLF
796,BKSHLF,BKSHLF
797,BOOKSTORE,BKSTR
798,BKSTR,BKSTR
799,BOOKSTOR,BKSTR
800,BOROUGH,BORO
801,BORO,BORO
802,BOTTLED,BOTLD
803,BOTLD,BOTLD
804,BOTTLER,BTTLR
805,BTLR,BTTLR
806,BTTLR,BTTLR
807,BOTTLING,BTLG
808,BOTLNG,BTLG
809,BTG,BTLG
810,BTLG,BTLG
811,BTLNG,BTLG
812,BOTTOM,BTM
813,BOT,BTM
814,BTM,BTM
815,BOULEVARD,BLVD
816,BLVD,BLVD
817,BOUTIQUE,BTQ
818,BTQ,BTQ
819,BTQUE,BTQ
820,BOWLING,BOWL
821,BOWL,BOWL
822,BRAIN,BRN
823,BRN,BRN
824,BRAKE,BRK
825,BRK,BRK
826,BRANCH,BR
827,BR,BR
828,BRCH,BR
829,BRNCH,BR
830,BRASSERIE,BRSSR
831,BRSSR,BRSSR
832,BREEDER,BRDR
833,BRDR,BRDR
834,BREWERY,BRWRY
835,BRWRY,BRWRY
836,BREWING,BRWNG
837,BRWNG,BRWNG
838,BRICK,BRCK
839,BRCK,BRCK
840,BRK,BRCK
841,BRIDAL,BRDL
842,BRDL,BRDL
843,BRIDGE,BRG
844,BDG,BRG
845,BR,BRG
846,BRDGE,BRG
847,BRIEF,BRF
848,BRF,BRF
849,BRIGADIER,BRIG
850,BRIG,BRIG
851,BRIQUETTE,BRQTT
852,BRQTT,BRQTT
853,BRITISH,BRTSH
854,BRTSH,BRTSH
855,BROADCAST,BRDCST
856,BRDCST,BRDCST
857,BROADCASTER,BRDCSTR
858,BRDCST,BRDCSTR
859,BRDCSTR,BRDCSTR
860,BROADCASTING,BRDCSTG
861,BROCSTG,BRDCSTG
862,BROADWAY,BRDWY
863,BRDWY,BRDWY
864,BROKER,BRKR
865,BRK,BRKR
866,BRKR,BRKR
867,BROKERAGE,BRKRGE
868,BRKG,BRKRGE
869,BRKRGE,BRKRGE
870,BROTHER,BRO
871,BRO,BRO
872,BROTHERHOOD,BRTHD
873,BRTHD,BRTHD
874,BROWN,BRWN
875,BRN,BRWN
876,BRWN,BRWN
877,BUCCANEER,BCCNR
878,BCCNR,BCCNR
879,BUCKET,BCKT
880,BCKT,BCKT
881,BUCKEYE,BCKEYE
882,BCKEYE,BCKEYE
883,BUDDY,BDDY
884,BDDY,BDDY
885,BUDGET,BGT
886,BDGT,BGT
887,BGT,BGT
888,BUDG,BGT
889,BUG,BGT
890,BUGT,BGT
891,BUFFALO,BUFF
892,BUILDER,BLDR
893,BLDR,BLDR
894,BUILDING,BLDG
895,BLD,BLDG
896,BLDG,BLDG
897,BUILT,BLT
898,BLT,BLT
899,BULLDOZING,BLLDZG
900,BLLDZG,BLLDZG
901,BULLET,BLLT
902,BLLT,BLLT
903,BULLETIN,BLLTN
904,BLLTN,BLLTN
905,BUREAU,BUR
906,BUR,BUR
907,BURGER,BGR
908,BGR,BGR
909,BURNING,BRNNG
910,BRNNG,BRNNG
911,BURSAR,BRSR
912,BRSR,BRSR
913,BUSINESS,BUS
914,BSNS,BUS
915,BUS,BUS
916,BUSINES,BUS
917,BUSN,BUS
918,BUTCHER,BTCHR
919,BUTLER,BTLR
920,BTLR,BTLR
921,BUTLR,BTLR
922,BUTTER,BUTR
923,BTR,BUTR
924,BUTR,BUTR
925,BUTTON,BUTN
926,BUTN,BUTN
927,BUYER,BUYR
928,BYR,BUYR
929,BYPASS,BYP
930,BYP,BYP
931,CABARET,CBRT
932,CBRT,CBRT
933,CABIN,CBN
934,CBN,CBN
935,CABINET,CBNT
936,CAB,CBNT
937,CBNT,CBNT
938,CABINETMAKER,CABMKR
939,CABMKR,CABMKR
940,CABLE,CABL
941,CABL,CABL
942,CBL,CABL
943,CADET,CDT
944,CDT,CDT
945,CADRE,CDR
946,CDR,CDR
947,CAFETERIA,CAFTRA
948,CFTR,CAFTRA
949,CAFTRA,CAFTRA
950,CALIPER,CLPR
951,CLPR,CLPR
952,CALLIGRAPHER,CLLGRPHR
953,CLLGRPHR,CLLGRPHR
954,CALVARY,CLVRY
955,CALV,CLVRY
956,CLVRY,CLVRY
957,CAMERA,CAM
958,CAM,CAM
959,CAMPAIGN,CMPGN
960,CMPGN,CMPGN
961,CAMPER,CMPR
962,CMPR,CMPR
963,CAMPGROUND,CMPGRND
964,CMPGRND,CMPGRND
965,CAMPING,CMPNG
966,CMPNG,CMPNG
967,CAMPSITE,CMPST
968,CMPST,CMPST
969,CAMPUS,CMPS
970,CMPS,CMPS
971,CMPUS,CMPS
972,CANADIAN,CNDN
973,CNDN,CNDN
974,CANAL,CNL
975,CNL,CNL
976,CANDLELIGHT,CNDLLGHT
977,CNDLLGHT,CNDLLGHT
978,CANDY,CNDY
979,CNDY,CNDY
980,CANNERY,CAN
981,CAN,CAN
982,CANNING,CNNNG
983,CNNNG,CNNNG
984,CANTONMENT,CNTNMNT
985,CNTNMNT,CNTNMNT
986,CANTOR,CANTR
987,CANTR,CANTR
988,CNTR,CANTR
989,CANVAS,CANV
990,CANV,CANV
991,CANYON,CYN
992,CYN,CYN
993,CAPITAL,CPTAL
994,CPTAL,CPTAL
995,CPTL,CPTAL
