,common_use,usps_abbr,pattern,combined,abbr_type
4477,PSYCHL,PSYCHL,psychl,"('psychl', 'psychl')",business
4478,PSYCHOLOGICAL,PSYCHL,psychological,"('psychological', 'psychl')",business
4479,PSYCHOLOGIST,PSYC,psychologist,"('psychologist', 'psyc')",business
4480,PSYCHOLOGY,PSYCY,psychology,"('psychology', 'psycy')",business
4481,PSYCLGY,PSYCY,psyclgy,"('psyclgy', 'psycy')",business
4482,PT,PT,pt | pt,"('pt | pt', 'pt')",business
4483,PTCH,PTCH,ptch,"('ptch', 'ptch')",business
4484,PTG,PRINTG,ptg,"('ptg', 'printg')",business
4485,PTHLGST,PTHLGST,pthlgst,"('pthlgst', 'pthlgst')",business
4486,PTLBD,PTLBD,ptlbd,"('ptlbd', 'ptlbd')",business
4487,PTNR,PRTNR,ptnr,"('ptnr', 'prtnr')",business
4488,PTR,PRTR,ptr | ptr | ptr,"('ptr | ptr | ptr', 'prtr')",business
4489,PTTRN,PTTRN,pttrn,"('pttrn', 'pttrn')",business
4490,PTTY,PTTY,ptty,"('ptty', 'ptty')",business
4491,PTY,PTY,pty,"('pty', 'pty')",business
4492,PUB,PBLSHNG,pub | pub | pub,"('pub | pub | pub', 'pblshng')",business
4493,PUBG,PBLSHNG,pubg,"('pubg', 'pblshng')",business
4494,PUBL,PUBLR,publ | publ,"('publ | publ', 'publr')",business
4495,PUBLCTN,PUBLCTN,publctn,"('publctn', 'publctn')",business
4496,PUBLIC,PUB,public,"('public', 'pub')",business
4497,PUBLICATION,PUBLCTN,publication,"('publication', 'publctn')",business
4498,PUBLISHER,PUBLR,publisher,"('publisher', 'publr')",business
4499,PUBLISHING,PBLSHNG,publishing,"('publishing', 'pblshng')",business
4500,PUBLR,PUBLR,publr,"('publr', 'publr')",business
4501,PUBLSHR,PUBLR,publshr,"('publshr', 'publr')",business
4502,PUMPING,PMPG,pumping,"('pumping', 'pmpg')",business
4503,PUNCH,PNCH,punch,"('punch', 'pnch')",business
4504,PUR,PURCHR,pur | pur,"('pur | pur', 'purchr')",business
4505,PURCH,PRCHNG,purch | purch,"('purch | purch', 'prchng')",business
4506,PURCHASE,PURCH,purchase,"('purchase', 'purch')",business
4507,PURCHASER,PURCHR,purchaser,"('purchaser', 'purchr')",business
4508,PURCHASING,PRCHNG,purchasing,"('purchasing', 'prchng')",business
4509,PURCHR,PURCHR,purchr,"('purchr', 'purchr')",business
4510,PVG,PAVE,pvg,"('pvg', 'pave')",business
4511,PVT,PVT,pvt,"('pvt', 'pvt')",business
4512,PWNPKR,PWNBKR,pwnpkr,"('pwnpkr', 'pwnbkr')",business
4513,PWR,PWR,pwr,"('pwr', 'pwr')",business
4514,PYMT,PYMT,pymt,"('pymt', 'pymt')",business
4515,PZ,PZA,pz | pz,"('pz | pz', 'pza')",business
4516,PZA,PZA,pza | pza,"('pza | pza', 'pza')",business
4517,QCK,QCK,qck,"('qck', 'qck')",business
4518,QLTY,QLTY,qlty,"('qlty', 'qlty')",business
4519,QN,QN,qn,"('qn', 'qn')",business
4520,QTR,QTR,qtr,"('qtr', 'qtr')",business
4521,QTY,QTY,qty,"('qty', 'qty')",business
4522,QUAD,QUAD,quad,"('quad', 'quad')",business
4523,QUADRANGLE,QUAD,quadrangle,"('quadrangle', 'quad')",business
4524,QUAL,QLTY,qual,"('qual', 'qlty')",business
4525,QUALITY,QLTY,quality,"('quality', 'qlty')",business
4526,QUANTITY,QTY,quantity,"('quantity', 'qty')",business
4527,QUAR,QUAR,quar,"('quar', 'quar')",business
4528,QUARRY,QUAR,quarry,"('quarry', 'quar')",business
4529,QUARTER,QTR,quarter,"('quarter', 'qtr')",business
4530,QUEEN,QN,queen,"('queen', 'qn')",business
4531,QUICK,QCK,quick,"('quick', 'qck')",business
4532,QULTY,QLTY,qulty,"('qulty', 'qlty')",business
4533,RABBI,RBB,rabbi,"('rabbi', 'rbb')",business
4534,RACG,RACG,racg,"('racg', 'racg')",business
4535,RACING,RACG,racing,"('racing', 'racg')",business
4536,RAD,RADY,rad | rad | rad,"('rad | rad | rad', 'rady')",business
4537,RADIATOR,RADTR,radiator,"('radiator', 'radtr')",business
4538,RADIO,RDO,radio,"('radio', 'rdo')",business
4539,RADIOLOGIST,RAD,radiologist,"('radiologist', 'rad')",business
4540,RADIOLOGY,RADY,radiology,"('radiology', 'rady')",business
4541,RADTR,RADTR,radtr,"('radtr', 'radtr')",business
4542,RADY,RADY,rady,"('rady', 'rady')",business
4543,RAILROAD,RR,railroad,"('railroad', 'rr')",business
4544,RAILWAY,RLWY,railway,"('railway', 'rlwy')",business
4545,RAINBOW,RNBW,rainbow,"('rainbow', 'rnbw')",business
4546,RANCH,RNCH,ranch,"('ranch', 'rnch')",business
4547,RBB,RBB,rbb,"('rbb', 'rbb')",business
4548,RBLDR,RBLDR,rbldr,"('rbldr', 'rbldr')",business
4549,RBR,RBR,rbr,"('rbr', 'rbr')",business
4550,RCKY,RCKY,rcky,"('rcky', 'rcky')",business
4551,RCRTN,RCRTN,rcrtn,"('rcrtn', 'rcrtn')",business
4552,RCRTNL,RCRTNL,rcrtnl,"('rcrtnl', 'rcrtnl')",business
4553,RCRTR,RCRTR,rcrtr,"('rcrtr', 'rcrtr')",business
4554,RCV,RCV,rcv | rcv,"('rcv | rcv', 'rcv')",business
4555,RCVD,RCVD,rcvd,"('rcvd', 'rcvd')",business
4556,RCVNG,RCVNG,rcvng,"('rcvng', 'rcvng')",business
4557,RCYCLNG,RECYCLE,rcyclng,"('rcyclng', 'recycle')",business
4558,RDBL,RDBL,rdbl,"('rdbl', 'rdbl')",business
4559,RDCTN,RDCTN,rdctn,"('rdctn', 'rdctn')",business
4560,RDG,RDG,rdg,"('rdg', 'rdg')",business
4561,RDO,RDO,rdo,"('rdo', 'rdo')",business
4562,RDWY,RDWY,rdwy,"('rdwy', 'rdwy')",business
4563,RDY,RDY,rdy,"('rdy', 'rdy')",business
4564,READABLE,RDBL,readable,"('readable', 'rdbl')",business
4565,READY,RDY,ready,"('ready', 'rdy')",business
4566,REALTOR,RLTR,realtor,"('realtor', 'rltr')",business
4567,REALTY,RLTY,realty,"('realty', 'rlty')",business
4568,REBUILDER,RBLDR,rebuilder,"('rebuilder', 'rbldr')",business
4569,REC,RCRTN,rec | rec | rec,"('rec | rec | rec', 'rcrtn')",business
4570,RECEIPT,RECPT,receipt,"('receipt', 'recpt')",business
4571,RECEIVABLE,RCVBL,receivable,"('receivable', 'rcvbl')",business
4572,RECEIVE,RCV,receive,"('receive', 'rcv')",business
4573,RECEIVED,RCVD,received,"('received', 'rcvd')",business
4574,RECEIVING,RCVNG,receiving,"('receiving', 'rcvng')",business
4575,RECNSTRCTV,RECNSTRCTV,recnstrctv,"('recnstrctv', 'recnstrctv')",business
4576,RECONSTRUCTIVE,RECNSTRCTV,reconstructive,"('reconstructive', 'recnstrctv')",business
4577,RECORD,REC,record,"('record', 'rec')",business
4578,RECOVERY,RECVY,recovery,"('recovery', 'recvy')",business
4579,RECP,RECPT,recp,"('recp', 'recpt')",business
4580,RECPT,RECPT,recpt,"('recpt', 'recpt')",business
4581,RECREATION,RCRTN,recreation,"('recreation', 'rcrtn')",business
4582,RECREATIONAL,RCRTNL,recreational,"('recreational', 'rcrtnl')",business
4583,RECRTL,RCRTNL,recrtl,"('recrtl', 'rcrtnl')",business
4584,RECRUIT,RECRUIT,recruit,"('recruit', 'recruit')",business
4585,RECRUITER,RCRTR,recruiter,"('recruiter', 'rcrtr')",business
4586,RECRUITING,RECRUIT,recruiting,"('recruiting', 'recruit')",business
4587,RECVY,RECVY,recvy,"('recvy', 'recvy')",business
4588,RECYCLE,RECYCLE,recycle,"('recycle', 'recycle')",business
4589,RECYCLING,RECYCLE,recycling,"('recycling', 'recycle')",business
4590,REDUCTION,RDCTN,reduction,"('reduction', 'rdctn')",business
4591,REF,RFNG,ref | ref,"('ref | ref', 'rfng')",business
4592,REFERENCE,REF,reference,"('reference', 'ref')",business
4593,REFINERY,RFNRY,refinery,"('refinery', 'rfnry')",business
4594,REFINING,RFNG,refining,"('refining', 'rfng')",business
4595,REFR,REFR,refr,"('refr', 'refr')",business
4596,REFRACTORY,REFR,refractory,"('refractory', 'refr')",business
4597,REFRIG,REFRIG,refrig,"('refrig', 'refrig')",business
4598,REFRIGERATION,REFRIG,refrigeration,"('refrigeration', 'refrig')",business
4599,REFRIGERATOR,RFRG,refrigerator,"('refrigerator', 'rfrg')",business
4600,REG,REGR,reg | reg | reg | reg | reg,"('reg | reg | reg | reg | reg', 'regr')",business
4601,REGD,REGD,regd,"('regd', 'regd')",business
4602,REGION,REGN,region,"('region', 'regn')",business
4603,REGIONAL,REGL,regional,"('regional', 'regl')",business
4604,REGISTER,REG,register,"('register', 'reg')",business
4605,REGISTERED,REGD,registered,"('registered', 'regd')",business
4606,REGISTRAR,REGR,registrar,"('registrar', 'regr')",business
4607,REGISTRY,RGSTY,registry,"('registry', 'rgsty')",business
4608,REGL,REGL,regl,"('regl', 'regl')",business
4609,REGN,REGN,regn,"('regn', 'regn')",business
4610,REGNL,REGL,regnl,"('regnl', 'regl')",business
4611,REGR,REGR,regr,"('regr', 'regr')",business
4612,REGULATORY,RGLTRY,regulatory,"('regulatory', 'rgltry')",business
4613,REHAB,REHAB,rehab,"('rehab', 'rehab')",business
4614,REHABILITATION,REHAB,rehabilitation,"('rehabilitation', 'rehab')",business
4615,REL,REL,rel,"('rel', 'rel')",business
4616,RELA,REL,rela,"('rela', 'rel')",business
4617,RELATED,RLTD,related,"('related', 'rltd')",business
4618,RELATION,REL,relation,"('relation', 'rel')",business
4619,RELI,RELI,reli,"('reli', 'reli')",business
4620,RELIABLE,RELI,reliable,"('reliable', 'reli')",business
4621,RELOCATION,RLCTN,relocation,"('relocation', 'rlctn')",business
4622,REMEDIAL,RMDL,remedial,"('remedial', 'rmdl')",business
4623,REMOD,REMOD,remod,"('remod', 'remod')",business
4624,REMODELING,REMOD,remodeling,"('remodeling', 'remod')",business
4625,RENT,RENT,rent,"('rent', 'rent')",business
4626,RENTAL,RENT,rental,"('rental', 'rent')",business
4627,REP,REP,rep | rep | rep,"('rep | rep | rep', 'rep')",business
4628,REPAIR,RPR,repair,"('repair', 'rpr')",business
4629,REPB,REPB,repb,"('repb', 'repb')",business
4630,REPORT,REPT,report,"('report', 'rept')",business
4631,REPORTER,REPTR,reporter,"('reporter', 'reptr')",business
4632,REPR,RPR,repr,"('repr', 'rpr')",business
4633,REPRESENTATIVE,REP,representative,"('representative', 'rep')",business
4634,REPT,REPT,rept,"('rept', 'rept')",business
4635,REPTR,REPTR,reptr,"('reptr', 'reptr')",business
4636,REPUB,REPUB,repub,"('repub', 'repub')",business
4637,REPUBLIC,REPB,republic,"('republic', 'repb')",business
4638,REPUBLICAN,REPUB,republican,"('republican', 'repub')",business
4639,REQUIREMENT,RQRMNT,requirement,"('requirement', 'rqrmnt')",business
4640,RES,RESRC,res | res | res,"('res | res | res', 'resrc')",business
4641,RESEARCH,RSRCH,research,"('research', 'rsrch')",business
4642,RESERVE,RESV,reserve,"('reserve', 'resv')",business
4643,RESIDENCE,RSDNC,residence,"('residence', 'rsdnc')",business
4644,RESIDENT,RES,resident,"('resident', 'res')",business
4645,RESORT,RESRT,resort,"('resort', 'resrt')",business
4646,RESOURCE,RESRC,resource,"('resource', 'resrc')",business
4647,RESP,RESP,resp,"('resp', 'resp')",business
4648,RESPONSIBLE,RESP,responsible,"('responsible', 'resp')",business
4649,RESRC,RESRC,resrc,"('resrc', 'resrc')",business
4650,RESRT,RESRT,resrt,"('resrt', 'resrt')",business
4651,RESTAURANT,RSTRNT,restaurant,"('restaurant', 'rstrnt')",business
4652,RESTOR,RESTOR,restor,"('restor', 'restor')",business
4653,RESTORATION,RESTOR,restoration,"('restoration', 'restor')",business
4654,RESV,RESV,resv,"('resv', 'resv')",business
4655,RET,RTRD,ret | ret,"('ret | ret', 'rtrd')",business
4656,RETAIL,RTL,retail,"('retail', 'rtl')",business
4657,RETAILER,RET,retailer,"('retailer', 'ret')",business
4658,RETARDATION,RTRDTN,retardation,"('retardation', 'rtrdtn')",business
4659,RETIRED,RTRD,retired,"('retired', 'rtrd')",business
4660,RETIREMENT,RTRMNT,retirement,"('retirement', 'rtrmnt')",business
4661,RETRAINING,RETRNG,retraining,"('retraining', 'retrng')",business
4662,RETRNG,RETRNG,retrng,"('retrng', 'retrng')",business
4663,REV,REV,rev,"('rev', 'rev')",business
4664,REVEREND,REV,reverend,"('reverend', 'rev')",business
4665,RFNG,RFNG,rfng,"('rfng', 'rfng')",business
4666,RFNRY,RFNRY,rfnry,"('rfnry', 'rfnry')",business
4667,RFRG,RFRG,rfrg,"('rfrg', 'rfrg')",business
4668,RFRGRTN,REFRIG,rfrgrtn,"('rfrgrtn', 'refrig')",business
4669,RGLTRY,RGLTRY,rgltry,"('rgltry', 'rgltry')",business
4670,RGSTR,REG,rgstr,"('rgstr', 'reg')",business
4671,RGSTY,RGSTY,rgsty,"('rgsty', 'rgsty')",business
4672,RIDGE,RDG,ridge,"('ridge', 'rdg')",business
4673,RIV,RIV,riv,"('riv', 'riv')",business
4674,RIVER,RIV,river,"('river', 'riv')",business
4675,RIVR,RIV,rivr,"('rivr', 'riv')",business
4676,RLCTN,RLCTN,rlctn,"('rlctn', 'rlctn')",business
4677,RLTD,RLTD,rltd,"('rltd', 'rltd')",business
4678,RLTR,RLTR,rltr,"('rltr', 'rltr')",business
4679,RLTY,RLTY,rlty,"('rlty', 'rlty')",business
4680,RLWY,RLWY,rlwy,"('rlwy', 'rlwy')",business
4681,RMDL,RMDL,rmdl,"('rmdl', 'rmdl')",business
4682,RMDLG,REMOD,rmdlg,"('rmdlg', 'remod')",business
4683,RNBW,RNBW,rnbw,"('rnbw', 'rnbw')",business
4684,RNCH,RNCH,rnch,"('rnch', 'rnch')",business
4685,RND,RND,rnd,"('rnd', 'rnd')",business
4686,RNT,RENT,rnt,"('rnt', 'rent')",business
4687,RNTL,RENT,rntl,"('rntl', 'rent')",business
4688,ROADWAY,RDWY,roadway,"('roadway', 'rdwy')",business
4689,ROCKY,RCKY,rocky,"('rocky', 'rcky')",business
4690,ROOF,ROOF,roof,"('roof', 'roof')",business
4691,ROOFG,ROOF,roofg,"('roofg', 'roof')",business
4692,ROOFING,ROOF,roofing,"('roofing', 'roof')",business
4693,ROUND,RND,round,"('round', 'rnd')",business
4694,ROUTE,RT,route,"('route', 'rt')",business
4695,ROY,ROY,roy,"('roy', 'roy')",business
4696,ROYAL,RYL,royal,"('royal', 'ryl')",business
4697,ROYALTY,ROY,royalty,"('royalty', 'roy')",business
4698,RPR,RPR,rpr,"('rpr', 'rpr')",business
4699,RQRMNT,RQRMNT,rqrmnt,"('rqrmnt', 'rqrmnt')",business
4700,RR,RR,rr,"('rr', 'rr')",business
4701,RSCE,RESRC,rsce,"('rsce', 'resrc')",business
4702,RSCH,RSRCH,rsch,"('rsch', 'rsrch')",business
4703,RSDNC,RSDNC,rsdnc,"('rsdnc', 'rsdnc')",business
4704,RSDNT,RES,rsdnt,"('rsdnt', 'res')",business
4705,RSRC,RESRC,rsrc,"('rsrc', 'resrc')",business
4706,RSRCH,RSRCH,rsrch,"('rsrch', 'rsrch')",business
4707,RSTRNT,RSTRNT,rstrnt,"('rstrnt', 'rstrnt')",business
4708,RSTRTN,RESTOR,rstrtn,"('rstrtn', 'restor')",business
4709,RT,RT,rt,"('rt', 'rt')",business
4710,RTE,RT,rte,"('rte', 'rt')",business
4711,RTL,RTL,rtl,"('rtl', 'rtl')",business
4712,RTRD,RTRD,rtrd,"('rtrd', 'rtrd')",business
4713,RTRDTN,RTRDTN,rtrdtn,"('rtrdtn', 'rtrdtn')",business
4714,RTRMNT,RTRMNT,rtrmnt,"('rtrmnt', 'rtrmnt')",business
4715,RUBBER,RBR,rubber,"('rubber', 'rbr')",business
4716,RUR,RUR,rur,"('rur', 'rur')",business
4717,RURAL,RUR,rural,"('rural', 'rur')",business
4718,RVR,RIV,rvr,"('rvr', 'riv')",business
4719,RYL,RYL,ryl,"('ryl', 'ryl')",business
4720,SAD,SAD,sad,"('sad', 'sad')",business
4721,SADDLERY,SAD,saddlery,"('saddlery', 'sad')",business
4722,SAFETY,SFTY,safety,"('safety', 'sfty')",business
4723,SAINT,ST,saint,"('saint', 'st')",business
4724,SALES,SLS,sales,"('sales', 'sls')",business
4725,SALESMAN,SLSMN,salesman,"('salesman', 'slsmn')",business
4726,SALON,SLN,salon,"('salon', 'sln')",business
4727,SALOON,SLON,saloon,"('saloon', 'slon')",business
4728,SALV,SLVG,salv,"('salv', 'slvg')",business
4729,SALVAGE,SLVG,salvage,"('salvage', 'slvg')",business
4730,SALVATION,SLVTN,salvation,"('salvation', 'slvtn')",business
4731,SAND,SNDWCH,sand,"('sand', 'sndwch')",business
4732,SANDWICH,SNDWCH,sandwich,"('sandwich', 'sndwch')",business
4733,SANI,SANITN,sani | sani,"('sani | sani', 'sanitn')",business
4734,SANITARY,SANI,sanitary,"('sanitary', 'sani')",business
4735,SANITATION,SANITN,sanitation,"('sanitation', 'sanitn')",business
4736,SANITN,SANITN,sanitn,"('sanitn', 'sanitn')",business
4737,SAT,SAT,sat,"('sat', 'sat')",business
4738,SATELLITE,SAT,satellite,"('satellite', 'sat')",business
4739,SATISFACTION,STSFCTN,satisfaction,"('satisfaction', 'stsfctn')",business
4740,SAV,SVNGS,sav,"('sav', 'svngs')",business
4741,SAVE,SVNGS,save,"('save', 'svngs')",business
4742,SAVINGS,SVNGS,savings,"('savings', 'svngs')",business
4743,SBSTNC,SBSTNC,sbstnc,"('sbstnc', 'sbstnc')",business
4744,SBWY,SBWY,sbwy,"('sbwy', 'sbwy')",business
4745,SC,SCI,sc,"('sc', 'sci')",business
4746,SCH,SCHL,sch,"('sch', 'schl')",business
4747,SCHL,SCHL,schl,"('schl', 'schl')",business
4748,SCHOOL,SCHL,school,"('school', 'schl')",business
4749,SCI,SCNTFC,sci | sci,"('sci | sci', 'scntfc')",business
4750,SCIENCE,SCI,science,"('science', 'sci')",business
4751,SCIENTIFIC,SCNTFC,scientific,"('scientific', 'scntfc')",business
4752,SCIENTIST,SCNTST,scientist,"('scientist', 'scntst')",business
4753,SCL,SCL,scl,"('scl', 'scl')",business
4754,SCNTFC,SCNTFC,scntfc,"('scntfc', 'scntfc')",business
4755,SCNTST,SCNTST,scntst,"('scntst', 'scntst')",business
4756,SCREEN,SCRN,screen,"('screen', 'scrn')",business
4757,SCRN,SCRN,scrn,"('scrn', 'scrn')",business
4758,SCRTY,SEC,scrty,"('scrty', 'sec')",business
4759,SCTN,SECT,sctn,"('sctn', 'sect')",business
4760,SCTY,SCTY,scty,"('scty', 'scty')",business
4761,SEAFD,SEAFD,seafd,"('seafd', 'seafd')",business
4762,SEAFOOD,SEAFD,seafood,"('seafood', 'seafd')",business
4763,SEAMAN,SMN,seaman,"('seaman', 'smn')",business
4764,SEASON,SN,season,"('season', 'sn')",business
4765,SEC,SEC,sec | sec | sec | sec,"('sec | sec | sec | sec', 'sec')",business
4766,SECL,SECL,secl,"('secl', 'secl')",business
4767,SECOND,2ND,second,"('second', '2nd')",business
4768,SECR,SECY,secr,"('secr', 'secy')",business
4769,SECRETARIAL,SECL,secretarial,"('secretarial', 'secl')",business
4770,SECRETARY,SECY,secretary,"('secretary', 'secy')",business
4771,SECT,SECTL,sect | sect | sect,"('sect | sect | sect', 'sectl')",business
4772,SECTION,SECT,section,"('section', 'sect')",business
4773,SECTIONAL,SECTL,sectional,"('sectional', 'sectl')",business
4774,SECTL,SECTL,sectl,"('sectl', 'sectl')",business
4775,SECTY,SECY,secty,"('secty', 'secy')",business
4776,SECURITY,SEC,security,"('security', 'sec')",business
4777,SECY,SECY,secy,"('secy', 'secy')",business
4778,SEGT,SGT,segt,"('segt', 'sgt')",business
4779,SEMINARY,SMRY,seminary,"('seminary', 'smry')",business
4780,SEN,SEN,sen,"('sen', 'sen')",business
4781,SENATOR,SEN,senator,"('senator', 'sen')",business
4782,SENIOR,SR,senior,"('senior', 'sr')",business
4783,SENSORY,SNSRY,sensory,"('sensory', 'snsry')",business
4784,SEPTIC,SPTC,septic,"('septic', 'sptc')",business
4785,SER,SVC,ser | ser,"('ser | ser', 'svc')",business
4786,SERGEANT,SGT,sergeant,"('sergeant', 'sgt')",business
4787,SERGNT,SGT,sergnt,"('sergnt', 'sgt')",business
4788,SERIAL,SER,serial,"('serial', 'ser')",business
4789,SERV,SVC,serv,"('serv', 'svc')",business
4790,SERVIC,SVC,servic,"('servic', 'svc')",business
4791,SERVICE,SVC,service,"('service', 'svc')",business
4792,SEVENTH,7TH,seventh,"('seventh', '7th')",business
4793,SEW,SEW,sew,"('sew', 'sew')",business
4794,SEWER,SWR,sewer,"('sewer', 'swr')",business
4795,SEWING,SEW,sewing,"('sewing', 'sew')",business
4796,SFTWE,SFTWR,sftwe,"('sftwe', 'sftwr')",business
4797,SFTWR,SFTWR,sftwr,"('sftwr', 'sftwr')",business
4798,SFTY,SFTY,sfty,"('sfty', 'sfty')",business
4799,SG,SGT,sg,"('sg', 'sgt')",business
4800,SGT,SGT,sgt,"('sgt', 'sgt')",business
4801,SH,SHER,sh,"('sh', 'sher')",business
4802,SHADE,SHD,shade,"('shade', 'shd')",business
4803,SHD,SHD,shd,"('shd', 'shd')",business
4804,SHEAR,SHR,shear,"('shear', 'shr')",business
4805,SHEET,SHT,sheet,"('sheet', 'sht')",business
4806,SHELL,SHL,shell,"('shell', 'shl')",business
4807,SHER,SHER,sher,"('sher', 'sher')",business
4808,SHERIF,SHER,sherif,"('sherif', 'sher')",business
4809,SHERIFF,SHER,sheriff,"('sheriff', 'sher')",business
4810,SHFT,SHFT,shft,"('shft', 'shft')",business
4811,SHIELD,SHLD,shield,"('shield', 'shld')",business
4812,SHIFT,SHFT,shift,"('shift', 'shft')",business
4813,SHIPBLDG,SHIPBLDG,shipbldg,"('shipbldg', 'shipbldg')",business
4814,SHIPBUILDING,SHIPBLDG,shipbuilding,"('shipbuilding', 'shipbldg')",business
4815,SHIPG,SHIPG,shipg,"('shipg', 'shipg')",business
4816,SHIPPING,SHIPG,shipping,"('shipping', 'shipg')",business
4817,SHL,SHL,shl,"('shl', 'shl')",business
4818,SHLD,SHLD,shld,"('shld', 'shld')",business
4819,SHOPG,SHPG,shopg,"('shopg', 'shpg')",business
4820,SHOPPE,SHP,shoppe,"('shoppe', 'shp')",business
4821,SHOPPING,SHPG,shopping,"('shopping', 'shpg')",business
4822,SHOR,SHOR,shor,"('shor', 'shor')",business
4823,SHORE,SHOR,shore,"('shore', 'shor')",business
4824,SHOWCASE,SHWCS,showcase,"('showcase', 'shwcs')",business
4825,SHP,SHP,shp,"('shp', 'shp')",business
4826,SHPNG,SHIPG,shpng,"('shpng', 'shipg')",business
4827,SHR,SHOR,shr | shr,"('shr | shr', 'shor')",business
4828,SHT,SHT,sht,"('sht', 'sht')",business
4829,SHWCS,SHWCS,shwcs,"('shwcs', 'shwcs')",business
4830,SIDE,SIDE,side,"('side', 'side')",business
4831,SIDING,SIDE,siding,"('siding', 'side')",business
4832,SILPLTG,SILPLTG,silpltg,"('silpltg', 'silpltg')",business
4833,SILVER,SLVR,silver,"('silver', 'slvr')",business
4834,SILVERPLATING,SILPLTG,silverplating,"('silverplating', 'silpltg')",business
4835,SILVERWARE,SILWR,silverware,"('silverware', 'silwr')",business
4836,SILWR,SILWR,silwr,"('silwr', 'silwr')",business
4837,SINDICATE,SYND,sindicate,"('sindicate', 'synd')",business
4838,SIS,SIS,sis,"('sis', 'sis')",business
4839,SISTER,SIS,sister,"('sister', 'sis')",business
4840,SIXTH,6TH,sixth,"('sixth', '6th')",business
4841,SKILL,SKLL,skill,"('skill', 'skll')",business
4842,SKLL,SKLL,skll,"('skll', 'skll')",business
4843,SLD,SLD,sld,"('sld', 'sld')",business
4844,SLN,SLON,sln | sln,"('sln | sln', 'slon')",business
4845,SLON,SLON,slon,"('slon', 'slon')",business
4846,SLR,SLR,slr,"('slr', 'slr')",business
4847,SLS,SLS,sls,"('sls', 'sls')",business
4848,SLSMAN,SLSMN,slsman,"('slsman', 'slsmn')",business
4849,SLSMN,SLSMN,slsmn,"('slsmn', 'slsmn')",business
4850,SLTN,SLTN,sltn,"('sltn', 'sltn')",business
4851,SLVG,SLVG,slvg,"('slvg', 'slvg')",business
4852,SLVR,SLVR,slvr,"('slvr', 'slvr')",business
4853,SLVTN,SLVTN,slvtn,"('slvtn', 'slvtn')",business
4854,SM,SM,sm,"('sm', 'sm')",business
4855,SMALL,SM,small,"('small', 'sm')",business
4856,SMELT,SMELT,smelt,"('smelt', 'smelt')",business
4857,SMELTING,SMELT,smelting,"('smelting', 'smelt')",business
4858,SML,SM,sml,"('sml', 'sm')",business
4859,SMN,SMN,smn,"('smn', 'smn')",business
4860,SMRY,SMRY,smry,"('smry', 'smry')",business
4861,SMT,SMT,smt,"('smt', 'smt')",business
4862,SN,SN,sn,"('sn', 'sn')",business
4863,SND,SNDRY,snd | snd,"('snd | snd', 'sndry')",business
4864,SNDRY,SNDRY,sndry,"('sndry', 'sndry')",business
4865,SNDWCH,SNDWCH,sndwch,"('sndwch', 'sndwch')",business
4866,SNRS,SNRS,snrs,"('snrs', 'snrs')",business
4867,SNSHN,SNSHN,snshn,"('snshn', 'snshn')",business
4868,SNSRY,SNSRY,snsry,"('snsry', 'snsry')",business
4869,SNST,SNST,snst,"('snst', 'snst')",business
4870,SOC,SCTY,soc | soc,"('soc | soc', 'scty')",business
4871,SOCIAL,SCL,social,"('social', 'scl')",business
4872,SOCIETY,SCTY,society,"('society', 'scty')",business
4873,SOFT,SFTWR,soft,"('soft', 'sftwr')",business
4874,SOFTWARE,SFTWR,software,"('software', 'sftwr')",business
4875,SOLAR,SLR,solar,"('solar', 'slr')",business
4876,SOLCR,SOLCR,solcr,"('solcr', 'solcr')",business
4877,SOLICITOR,SOLCR,solicitor,"('solicitor', 'solcr')",business
4878,SOLID,SLD,solid,"('solid', 'sld')",business
4879,SOLUTION,SLTN,solution,"('solution', 'sltn')",business
4880,SOUND,SND,sound,"('sound', 'snd')",business
4881,SOURCE,SRC,source,"('source', 'src')",business
4882,SOUTHERN,STHRN,southern,"('southern', 'sthrn')",business
4883,SOUTHSIDE,STHSD,southside,"('southside', 'sthsd')",business
4884,SOUVENIR,SUV,souvenir,"('souvenir', 'suv')",business
4885,SP,SP,sp,"('sp', 'sp')",business
4886,SPACE,SP,space,"('space', 'sp')",business
4887,SPC,SPCLTY,spc | spc,"('spc | spc', 'spclty')",business
4888,SPCFCTN,SPCFCTN,spcfctn,"('spcfctn', 'spcfctn')",business
4889,SPCL,SPEC,spcl,"('spcl', 'spec')",business
4890,SPCLST,SPCLST,spclst,"('spclst', 'spclst')",business
4891,SPCLT,SPCLTY,spclt,"('spclt', 'spclty')",business
4892,SPCLTY,SPCLTY,spclty,"('spclty', 'spclty')",business
4893,SPD,SPD,spd,"('spd', 'spd')",business
4894,SPDMTR,SPDMTR,spdmtr,"('spdmtr', 'spdmtr')",business
4895,SPDY,SPDY,spdy,"('spdy', 'spdy')",business
4896,SPEC,SPCLTY,spec | spec | spec,"('spec | spec | spec', 'spclty')",business
4897,SPECIAL,SPEC,special,"('special', 'spec')",business
4898,SPECIALIST,SPCLST,specialist,"('specialist', 'spclst')",business
4899,SPECIALIT,SPCLST,specialit,"('specialit', 'spclst')",business
4900,SPECIALTY,SPCLTY,specialty,"('specialty', 'spclty')",business
4901,SPECIFICATION,SPCFCTN,specification,"('specification', 'spcfctn')",business
4902,SPECT,SPECT,spect,"('spect', 'spect')",business
4903,SPECTRUM,SPECT,spectrum,"('spectrum', 'spect')",business
