,common_use,usps_abbr,pattern,combined,abbr_type
300,ANGLCN,ANGLCN,anglcn,"('anglcn', 'anglcn')",business
301,ANGLE,ANGL,angle,"('angle', 'angl')",business
302,ANGLER,ANGLR,angler,"('angler', 'anglr')",business
303,ANGLICAN,ANGLCN,anglican,"('anglican', 'anglcn')",business
304,ANGLR,ANGLR,anglr,"('anglr', 'anglr')",business
305,ANIMAL,ANML,animal,"('animal', 'anml')",business
306,ANIMATED,ANMTD,animated,"('animated', 'anmtd')",business
307,ANL,ANLYST,anl,"('anl', 'anlyst')",business
308,ANLG,ANLG,anlg,"('anlg', 'anlg')",business
309,ANLST,ANLYST,anlst,"('anlst', 'anlyst')",business
310,ANLYS,ANLYST,anlys | anlys,"('anlys | anlys', 'anlyst')",business
311,ANLYST,ANLYST,anlyst,"('anlyst', 'anlyst')",business
312,ANLYTC,ANLYTC,anlytc,"('anlytc', 'anlytc')",business
313,ANLYTCL,ANLYTCL,anlytcl,"('anlytcl', 'anlytcl')",business
314,ANML,ANML,anml,"('anml', 'anml')",business
315,ANMTD,ANMTD,anmtd,"('anmtd', 'anmtd')",business
316,ANNEX,ANX,annex,"('annex', 'anx')",business
317,ANNL,ANNL,annl,"('annl', 'annl')",business
318,ANNUAL,ANNL,annual,"('annual', 'annl')",business
319,ANNX,ANX,annx,"('annx', 'anx')",business
320,ANNYMS,ANON,annyms,"('annyms', 'anon')",business
321,ANODIZING,ANDZNG,anodizing,"('anodizing', 'andzng')",business
322,ANONYMOUS,ANON,anonymous,"('anonymous', 'anon')",business
323,ANS,ANSWRNG,ans,"('ans', 'answrng')",business
324,ANSTHS,ANSTHS,ansths,"('ansths', 'ansths')",business
325,ANSTHSLGY,ANSTHSLGY,ansthslgy,"('ansthslgy', 'ansthslgy')",business
326,ANSWERING,ANSWRNG,answering,"('answering', 'answrng')",business
327,ANSWRNG,ANSWRNG,answrng,"('answrng', 'answrng')",business
328,ANTIQUE,ANTQ,antique,"('antique', 'antq')",business
329,ANTQ,ANTQ,antq,"('antq', 'antq')",business
330,AP,APPRL,ap,"('ap', 'apprl')",business
331,APART,APT,apart,"('apart', 'apt')",business
332,APARTMENT,APT,apartment,"('apartment', 'apt')",business
333,APOSTOLATE,APSTLT,apostolate,"('apostolate', 'apstlt')",business
334,APOSTOLIC,APSTLC,apostolic,"('apostolic', 'apstlc')",business
335,APPARATUS,APPRTS,apparatus,"('apparatus', 'apprts')",business
336,APPAREL,APPRL,apparel,"('apparel', 'apprl')",business
337,APPL,APPLNC,appl,"('appl', 'applnc')",business
338,APPLCTN,APPLCTN,applctn,"('applctn', 'applctn')",business
339,APPLCTR,APPLCTR,applctr,"('applctr', 'applctr')",business
340,APPLD,APPLD,appld,"('appld', 'appld')",business
341,APPLE,APPLE,apple,"('apple', 'apple')",business
342,APPLIANC,APPLNC,applianc,"('applianc', 'applnc')",business
343,APPLIANCE,APPLNC,appliance,"('appliance', 'applnc')",business
344,APPLICATION,APPLCTN,application,"('application', 'applctn')",business
345,APPLICATOR,APPLCTR,applicator,"('applicator', 'applctr')",business
346,APPLIED,APPLD,applied,"('applied', 'appld')",business
347,APPLIQUE,APPLQ,applique,"('applique', 'applq')",business
348,APPLNC,APPLNC,applnc,"('applnc', 'applnc')",business
349,APPLQ,APPLQ,applq,"('applq', 'applq')",business
350,APPNTD,APPNTD,appntd,"('appntd', 'appntd')",business
351,APPOINTED,APPNTD,appointed,"('appointed', 'appntd')",business
352,APPRAISAL,APPRSL,appraisal,"('appraisal', 'apprsl')",business
353,APPRAISER,APPRSER,appraiser,"('appraiser', 'apprser')",business
354,APPRAISOR,APPRSOR,appraisor,"('appraisor', 'apprsor')",business
355,APPRCHR,APPRCHR,apprchr,"('apprchr', 'apprchr')",business
356,APPRENTICE,APPRNTC,apprentice,"('apprentice', 'apprntc')",business
357,APPRL,APPRL,apprl,"('apprl', 'apprl')",business
358,APPRNTC,APPRNTC,apprntc,"('apprntc', 'apprntc')",business
359,APPROACHER,APPRCHR,approacher,"('approacher', 'apprchr')",business
360,APPRSER,APPRSER,apprser,"('apprser', 'apprser')",business
361,APPRSL,APPRSL,apprsl,"('apprsl', 'apprsl')",business
362,APPRSOR,APPRSOR,apprsor,"('apprsor', 'apprsor')",business
363,APPRSR,APPRSOR,apprsr | apprsr,"('apprsr | apprsr', 'apprsor')",business
364,APPRTS,APPRTS,apprts,"('apprts', 'apprts')",business
365,APRSL,APPRSL,aprsl,"('aprsl', 'apprsl')",business
366,APSTLC,APSTLC,apstlc,"('apstlc', 'apstlc')",business
367,APSTLT,APSTLT,apstlt,"('apstlt', 'apstlt')",business
368,APT,APT,apt,"('apt', 'apt')",business
369,ARABIAN,ARBN,arabian,"('arabian', 'arbn')",business
370,ARBN,ARBN,arbn,"('arbn', 'arbn')",business
371,ARC,ARC,arc,"('arc', 'arc')",business
372,ARCADE,ARC,arcade,"('arcade', 'arc')",business
373,ARCD,ARC,arcd,"('arcd', 'arc')",business
374,ARCH,ARCH,arch | arch,"('arch | arch', 'arch')",business
375,ARCHBISHOP,ABP,archbishop,"('archbishop', 'abp')",business
376,ARCHERY,ARCHRY,archery,"('archery', 'archry')",business
377,ARCHITECT,ARCHT,architect,"('architect', 'archt')",business
378,ARCHITECTURAL,ARCHL,architectural,"('architectural', 'archl')",business
379,ARCHITECTURE,ARCH,architecture,"('architecture', 'arch')",business
