Address	Zip	Lat.	Long.
25	bmtl3 ave, Manhattan, NY	11222	40.723839	-73.950195
26	bmtl3 ave, Manhattan, NY	None	40.7128417	-73.9939016
27	bmtl3 ave, Manhattan, NY	10280	40.708455	-74.017185
28	bmtl3 ave, Manhattan, NY	11575	40.674671	-73.575143
0	bmtl6 ave, Manhattan, NY	None	40.802479	-73.9586849
1	bmtl6 ave, Manhattan, NY	None	40.7212899	-73.9488901
2	bmtl6 ave, Manhattan, NY	11222	40.7378375	-73.9554203
3	bmtl6 ave, Manhattan, NY	07307	40.7428124	-74.0515645
4	bmtl6 ave, Manhattan, NY	07087	40.7567337	-74.0349984
5	bmtl6 ave, Manhattan, NY	10801	40.9188427	-73.7804972
6	bmtl6 ave, Manhattan, NY	07001	40.574897	-74.274853
7	bmtl6 ave, Manhattan, NY	10021	40.7744828	-73.9651302
8	bmtl6 ave, Manhattan, NY	10019	40.7632696	-73.9776493
9	bmtl6 ave, Manhattan, NY	10532	41.1059734	-73.790757
10	bmtl6 ave, Manhattan, NY	11704	40.718359	-73.344226
11	bmtl6 ave, Manhattan, NY	None	42.939138	-78.828154
12	bmtl6 ave, Manhattan, NY	None	40.965346	-73.8251734
13	bmtl6 ave, Manhattan, NY	None	41.0461216	-73.7970472
14	bmtl6 ave, Manhattan, NY	11762	40.676136	-73.450754
15	bmtl6 ave, Manhattan, NY	11590	40.7490359	-73.5949416
16	bmtl6 ave, Manhattan, NY	14020	43.0035979	-78.1740925
17	bmtl6 ave, Manhattan, NY	13069	43.3332353	-76.4092074
18	bmtl6 ave, Manhattan, NY	10940	41.442237	-74.436904
19	bmtl6 ave, Manhattan, NY	13357	43.02194	-75.058451
20	bmtl6 ave, Manhattan, NY	10580	40.995538	-73.6941124
21	bmtl6 ave, Manhattan, NY	11222	40.723957	-73.95105
22	bmtl6 ave, Manhattan, NY	11222	40.723454	-73.950691
23	bmtl6 ave, Manhattan, NY	11222	40.730103	-73.954445
24	bmtl6 ave, Manhattan, NY	11206	40.707157	-73.944405
25	bmtl6 ave, Manhattan, NY	11222	40.723839	-73.950195
26	bmtl6 ave, Manhattan, NY	None	40.7128417	-73.9939016
27	bmtl6 ave, Manhattan, NY	10280	40.708455	-74.017185
28	bmtl6 ave, Manhattan, NY	11575	40.674671	-73.575143
0	bmtl8 ave, Manhattan, NY	None	40.802479	-73.9586849
1	bmtl8 ave, Manhattan, NY	None	40.7212899	-73.9488901
2	bmtl8 ave, Manhattan, NY	11222	40.7378375	-73.9554203
3	bmtl8 ave, Manhattan, NY	07307	40.7428124	-74.0515645
4	bmtl8 ave, Manhattan, NY	07087	40.7567337	-74.0349984
5	bmtl8 ave, Manhattan, NY	10801	40.9188427	-73.7804972
6	bmtl8 ave, Manhattan, NY	07001	40.574897	-74.274853
7	bmtl8 ave, Manhattan, NY	10021	40.7744828	-73.9651302
8	bmtl8 ave, Manhattan, NY	10019	40.7632696	-73.9776493
9	bmtl8 ave, Manhattan, NY	10532	41.1059734	-73.790757
10	bmtl8 ave, Manhattan, NY	11704	40.718359	-73.344226
11	bmtl8 ave, Manhattan, NY	None	42.939138	-78.828154
12	bmtl8 ave, Manhattan, NY	None	40.965346	-73.8251734
13	bmtl8 ave, Manhattan, NY	None	41.0461216	-73.7970472
14	bmtl8 ave, Manhattan, NY	11762	40.676136	-73.450754
15	bmtl8 ave, Manhattan, NY	11590	40.7490359	-73.5949416
16	bmtl8 ave, Manhattan, NY	14020	43.0035979	-78.1740925
17	bmtl8 ave, Manhattan, NY	13069	43.3332353	-76.4092074
18	bmtl8 ave, Manhattan, NY	10940	41.442237	-74.436904
19	bmtl8 ave, Manhattan, NY	13357	43.02194	-75.058451
20	bmtl8 ave, Manhattan, NY	10580	40.995538	-73.6941124
21	bmtl8 ave, Manhattan, NY	11222	40.723957	-73.95105
22	bmtl8 ave, Manhattan, NY	11222	40.723454	-73.950691
23	bmtl8 ave, Manhattan, NY	11222	40.730103	-73.954445
24	bmtl8 ave, Manhattan, NY	11206	40.707157	-73.944405
25	bmtl8 ave, Manhattan, NY	11222	40.723839	-73.950195
26	bmtl8 ave, Manhattan, NY	None	40.7128417	-73.9939016
27	bmtl8 ave, Manhattan, NY	10280	40.708455	-74.017185
28	bmtl8 ave, Manhattan, NY	11575	40.674671	-73.575143
0	bmtlunion sq14 st, Manhattan, NY	None	40.790278	-73.959722
1	bmtlunion sq14 st, Manhattan, NY	None	40.7830603	-73.9712488
0	bmtnqcanal st, Manhattan, NY	None	40.790278	-73.959722
1	bmtnqcanal st, Manhattan, NY	None	40.7830603	-73.9712488
0	bmtnqrw14 stunion sq, Manhattan, NY	None	40.790278	-73.959722
1	bmtnqrw14 stunion sq, Manhattan, NY	None	40.7830603	-73.9712488
0	bmtnqrw34 stherald sq, Manhattan, NY	None	40.790278	-73.959722
1	bmtnqrw34 stherald sq, Manhattan, NY	None	40.7830603	-73.9712488
0	bmtnqrw57 st, Manhattan, NY	None	40.790278	-73.959722
1	bmtnqrw57 st, Manhattan, NY	None	40.7830603	-73.9712488
0	bmtnqrwtimes sq, Manhattan, NY	None	40.790278	-73.959722
1	bmtnqrwtimes sq, Manhattan, NY	None	40.7830603	-73.9712488
0	bmtnrq28 st, Manhattan, NY	None	40.790278	-73.959722
1	bmtnrq28 st, Manhattan, NY	None	40.7830603	-73.9712488
0	bmtnrq49 st, Manhattan, NY	None	40.790278	-73.959722
1	bmtnrq49 st, Manhattan, NY	None	40.7830603	-73.9712488
0	bmtnrq5 av59 st, Manhattan, NY	None	40.790278	-73.959722
1	bmtnrq5 av59 st, Manhattan, NY	None	40.7830603	-73.9712488
0	bmtnrqcity hall, Manhattan, NY	None	40.790278	-73.959722
1	bmtnrqcity hall, Manhattan, NY	None	40.7830603	-73.9712488
0	bmtnrqlexington ave59 st, Manhattan, NY	None	40.790278	-73.959722
1	bmtnrqlexington ave59 st, Manhattan, NY	None	40.7830603	-73.9712488
0	bmtnrw23 st, Manhattan, NY	None	40.790278	-73.959722
1	bmtnrw23 st, Manhattan, NY	None	40.7830603	-73.9712488
0	bmtnrw8 stnyu, Manhattan, NY	None	40.790278	-73.959722
1	bmtnrw8 stnyu, Manhattan, NY	None	40.7830603	-73.9712488
0	bmtnrwcanal st, Manhattan, NY	None	40.790278	-73.959722
