,Unnamed: 0,boro,stname,numeric_ind,GFT,len_full_name,num_of_progens,progen_word_1,progen_gft_1,progen_b10sc_1,progen_word_2,progen_gft_2,progen_b10sc_2,clean_name
878,878,2, 184 STREET                     ,N,S,16,2,E, ,22718001010,W, ,27472001010,184 st
879,879,2, 185 STREET                     ,N,S,16,1,E, ,22721001010, , ,           ,185 st
880,880,2, 186 STREET                     ,N,S,16,1,E, ,22724001010, , ,           ,186 st
881,881,2, 187 STREET                     ,N,S,16,1,E, ,22727001010, , ,           ,187 st
882,882,2, 188 STREET                     ,N,S,16,2,E, ,22730001010,W, ,27475002010,188 st
883,883,2, 189 STREET                     ,N,S,16,2,E, ,22733001010,W, ,27476001010,189 st
884,884,2, 190 STREET                     ,N,S,16,2,E, ,22736001010,W, ,27478001010,190 st
885,885,2, 191 STREET                     ,N,S,16,2,E, ,22739001010,W, ,27479001010,191 st
886,886,2, 192 STREET                     ,N,S,16,2,E, ,22742001010,W, ,27481001010,192 st
887,887,2, 193 STREET                     ,N,S,16,2,E, ,22745001010,W, ,27483001010,193 st
888,888,2, 194 STREET                     ,N,S,16,1,E, ,22748001010, , ,           ,194 st
889,889,2, 195 STREET                     ,N,S,16,2,E, ,22751001010,W, ,27484001010,195 st
890,890,2, 196 STREET                     ,N,S,16,1,E, ,22754001010, , ,           ,196 st
891,891,2, 197 STREET                     ,N,S,16,2,E, ,22757001010,W, ,27487001010,197 st
892,892,2, 198 STREET                     ,N,S,16,1,E, ,22760001010, , ,           ,198 st
893,893,2, 199 STREET                     ,N,S,16,1,E, ,22763001010, , ,           ,199 st
894,894,2, 200 ST EASTBOUND ROADBED       ,N,S,30,1,E, ,21222006020, , ,           ,200 st eastbound roadbed
895,895,2, 200 ST INNER EB ROADBED        ,N,S,29,1,E, ,21222013020, , ,           ,200 st inner eb roadbed
896,896,2, 200 ST INNER WB ROADBED        ,N,S,29,1,E, ,21222011020, , ,           ,200 st inner wb roadbed
897,897,2, 200 ST OUTER EB ROADBED        ,N,S,29,1,E, ,21222014020, , ,           ,200 st outer eb roadbed
898,898,2, 200 ST OUTER WB ROADBED        ,N,S,29,1,E, ,21222012020, , ,           ,200 st outer wb roadbed
899,899,2, 200 ST WESTBOUND ROADBED       ,N,S,30,1,E, ,21222005020, , ,           ,200 st westbound roadbed
900,900,2, 200 STREET                     ,N,S,16,2,E, ,21222002010,W, ,21222502010,200 st
901,901,2, 200 STREET EB ROADBED          ,N,S,27,1,E, ,21222006010, , ,           ,200 street eb roadbed
902,902,2, 200 STREET WB ROADBED          ,N,S,27,1,E, ,21222005010, , ,           ,200 street wb roadbed
903,903,2, 201 STREET                     ,N,S,16,1,E, ,22766001010, , ,           ,201 st
